time,open,high,low,close
2006-05-10T13:30:00Z,439.63,439.63,439.63,439.63
2006-05-11T13:30:00Z,434.61,434.61,434.61,434.61
2006-05-12T13:30:00Z,422.11,422.11,422.11,422.11
2006-05-15T13:30:00Z,414.88,414.88,414.88,414.88
2006-05-16T13:30:00Z,415.9,415.9,415.9,415.9
2006-05-17T13:30:00Z,404.95,404.95,404.95,404.95
2006-05-18T13:30:00Z,400.02,400.02,400.02,400.02
2006-05-19T13:30:00Z,402.66,402.66,402.66,402.66
2006-05-22T13:30:00Z,401.14,401.14,401.14,401.14
2006-05-23T13:30:00Z,401.18,401.18,401.18,401.18
2006-05-24T13:30:00Z,397.05,397.05,397.05,397.05
2006-05-25T13:30:00Z,409.4,409.4,409.4,409.4
2006-05-26T13:30:00Z,411.17,411.17,411.17,411.17
2006-05-30T13:30:00Z,403.83,403.83,403.83,403.83
2006-05-31T13:30:00Z,411.95,411.95,411.95,411.95
2006-06-01T13:30:00Z,413.79,413.79,413.79,413.79
2006-06-02T13:30:00Z,419.08,419.08,419.08,419.08
2006-06-05T13:30:00Z,406.65,406.65,406.65,406.65
2006-06-06T13:30:00Z,407.11,407.11,407.11,407.11
2006-06-07T13:30:00Z,393.62,393.62,393.62,393.62
2006-06-08T13:30:00Z,397.19,397.19,397.19,397.19
2006-06-09T13:30:00Z,393.46,393.46,393.46,393.46
2006-06-12T13:30:00Z,386.24,386.24,386.24,386.24
2006-06-13T13:30:00Z,375.47,375.47,375.47,375.47
2006-06-14T13:30:00Z,384.39,384.39,384.39,384.39
2006-06-15T13:30:00Z,397.99,397.99,397.99,397.99
2006-06-16T13:30:00Z,395.61,395.61,395.61,395.61
2006-06-19T13:30:00Z,383.22,383.22,383.22,383.22
2006-06-20T13:30:00Z,380.97,380.97,380.97,380.97
2006-06-21T13:30:00Z,388.3,388.3,388.3,388.3
2006-06-22T13:30:00Z,389.96,389.96,389.96,389.96
2006-06-23T13:30:00Z,395.83,395.83,395.83,395.83
2006-06-26T13:30:00Z,400.35,400.35,400.35,400.35
2006-06-27T13:30:00Z,402.39,402.39,402.39,402.39
2006-06-28T13:30:00Z,410.33,410.33,410.33,410.33
2006-06-29T13:30:00Z,421.23,421.23,421.23,421.23
2006-06-30T13:30:00Z,420.35,420.35,420.35,420.35
2006-07-03T13:30:00Z,425.49,425.49,425.49,425.49
2006-07-05T13:30:00Z,427.37,427.37,427.37,427.37
2006-07-06T13:30:00Z,427.88,427.88,427.88,427.88
2006-07-07T13:30:00Z,422.51,422.51,422.51,422.51
2006-07-10T13:30:00Z,423.99,423.99,423.99,423.99
2006-07-11T13:30:00Z,431.51,431.51,431.51,431.51
2006-07-12T13:30:00Z,430.78,430.78,430.78,430.78
2006-07-13T13:30:00Z,427.86,427.86,427.86,427.86
2006-07-14T13:30:00Z,433.03,433.03,433.03,433.03
2006-07-17T13:30:00Z,421.14,421.14,421.14,421.14
2006-07-18T13:30:00Z,422.3,422.3,422.3,422.3
2006-07-19T13:30:00Z,425.33,425.33,425.33,425.33
2006-07-20T13:30:00Z,417.49,417.49,417.49,417.49
2006-07-21T13:30:00Z,411.56,411.56,411.56,411.56
2006-07-24T13:30:00Z,423.66,423.66,423.66,423.66
2006-07-25T13:30:00Z,430.21,430.21,430.21,430.21
2006-07-26T13:30:00Z,437.34,437.34,437.34,437.34
2006-07-27T13:30:00Z,435.62,435.62,435.62,435.62
2006-07-28T13:30:00Z,435.48,435.48,435.48,435.48
2006-07-31T13:30:00Z,441.21,441.21,441.21,441.21
2006-08-01T13:30:00Z,442.83,442.83,442.83,442.83
2006-08-02T13:30:00Z,443.97,443.97,443.97,443.97
2006-08-03T13:30:00Z,441.22,441.22,441.22,441.22
2006-08-04T13:30:00Z,438.68,438.68,438.68,438.68
2006-08-07T13:30:00Z,442.08,442.08,442.08,442.08
2006-08-08T13:30:00Z,440.94,440.94,440.94,440.94
2006-08-09T13:30:00Z,443.22,443.22,443.22,443.22
2006-08-10T13:30:00Z,441.07,441.07,441.07,441.07
2006-08-11T13:30:00Z,441.02,441.02,441.02,441.02
2006-08-14T13:30:00Z,434.26,434.26,434.26,434.26
2006-08-15T13:30:00Z,434.57,434.57,434.57,434.57
2006-08-16T13:30:00Z,430.77,430.77,430.77,430.77
2006-08-17T13:30:00Z,429.59,429.59,429.59,429.59
2006-08-18T13:30:00Z,436.03,436.03,436.03,436.03
2006-08-21T13:30:00Z,439.27,439.27,439.27,439.27
2006-08-22T13:30:00Z,441.48,441.48,441.48,441.48
2006-08-23T13:30:00Z,435.14,435.14,435.14,435.14
2006-08-24T13:30:00Z,439.97,439.97,439.97,439.97
