Data;IV/MA * 100
13/11/2019;98,36936906
14/11/2019;98,36836509
15/11/2019;98,42678599
18/11/2019;97,8817448
19/11/2019;97,86996923
20/11/2019;99,57954653
21/11/2019;99,6056993
22/11/2019;103,4642699
25/11/2019;108,4880117
26/11/2019;105,948831
27/11/2019;104,0750709
29/11/2019;102,5009622
02/12/2019;99,68496879
03/12/2019;101,5978033
04/12/2019;101,7842941
05/12/2019;102,3981807
06/12/2019;102,1092611
09/12/2019;102,0642
10/12/2019;102,0113128
13/12/2019;102,1826721
16/12/2019;102,0116755
17/12/2019;104,9751459
18/12/2019;107,5425806
19/12/2019;106,2518704
20/12/2019;105,9654412
23/12/2019;103,6362167
24/12/2019;103,6314938
26/12/2019;103,2250067
07/01/2020;103,1345795
08/01/2020;101,3476625
09/01/2020;99,09310671
10/01/2020;96,65691081
13/01/2020;95,03928217
14/01/2020;94,86264919
15/01/2020;97,47998518
16/01/2020;98,24466886
17/01/2020;96,72339484
21/01/2020;93,00116159
22/01/2020;92,96901773
23/01/2020;91,66227006
24/01/2020;91,27355599
27/01/2020;92,05336352
28/01/2020;94,20679705
29/01/2020;93,94618336
30/01/2020;94,14525711
31/01/2020;95,27870283
03/02/2020;94,07380473
04/02/2020;92,81583288
05/02/2020;94,09771561
06/02/2020;96,96379795
07/02/2020;96,84097044
10/02/2020;96,63978325
11/02/2020;96,13328655
12/02/2020;96,8037257
13/02/2020;97,7156251
14/02/2020;98,03187839
18/02/2020;98,04285533
19/02/2020;97,18633115
20/02/2020;98,17123763
21/02/2020;97,35347927
24/02/2020;94,5237577
25/02/2020;94,86451741
26/02/2020;95,05880724
27/02/2020;98,98104512
28/02/2020;97,5887687
02/03/2020;95,54569206
03/03/2020;95,1963565
04/03/2020;95,12887681
05/03/2020;94,50581397
06/03/2020;93,74545056
09/03/2020;97,26638008
10/03/2020;100,2238331
11/03/2020;98,40271439
12/03/2020;103,0930791
13/03/2020;136,5358415
16/03/2020;162,5746225
17/03/2020;152,8917668
18/03/2020;149,855981
19/03/2020;144,7174663
20/03/2020;139,4576846
23/03/2020;142,0564997
24/03/2020;140,7349757
25/03/2020;146,2342001
26/03/2020;141,8483875
27/03/2020;138,1963108
30/03/2020;119,1401368
31/03/2020;124,8634084
01/04/2020;119,1251925
02/04/2020;126,3392462
03/04/2020;121,1554145
06/04/2020;123,9093423
07/04/2020;117,6411054
08/04/2020;118,3075474
09/04/2020;116,5568642
13/04/2020;114,7759047
14/04/2020;114,7559287
15/04/2020;114,4556092
16/04/2020;108,5986635
17/04/2020;115,0683483
20/04/2020;107,5360148
21/04/2020;111,2315319
22/04/2020;103,3028884
23/04/2020;103,0721666
24/04/2020;111,0147745
27/04/2020;100,4119
28/04/2020;102,4912629
29/04/2020;106,9792605
30/04/2020;112,0434139
01/05/2020;110,5451106
04/05/2020;116,4345988
05/05/2020;117,0376191
06/05/2020;118,0704516
07/05/2020;111,5785406
08/05/2020;119,4859908
11/05/2020;129,1452345
12/05/2020;121,0530979
13/05/2020;126,0133923
14/05/2020;122,0646986
15/05/2020;128,3404769
18/05/2020;121,6487808
19/05/2020;123,819823
20/05/2020;119,5004748
21/05/2020;120,3672507
22/05/2020;121,610579
26/05/2020;113,1524954
27/05/2020;111,5338964
28/05/2020;107,2651903
29/05/2020;108,4281393
01/06/2020;104,7761897
02/06/2020;113,6830905
03/06/2020;112,5558433
04/06/2020;105,7384543
05/06/2020;105,7667473
08/06/2020;103,7494276
09/06/2020;103,9694887
10/06/2020;106,2252629
11/06/2020;107,7738289
12/06/2020;106,1947773
15/06/2020;110,6920412
16/06/2020;107,1646925
17/06/2020;106,5946536
18/06/2020;106,1948923
19/06/2020;98,79449036
20/06/2020;99,53064285
21/06/2020;99,48179752
22/06/2020;99,66379437
23/06/2020;99,32406414
24/06/2020;101,5431982
25/06/2020;99,2724402
26/06/2020;96,0773466
27/06/2020;93,70390877
28/06/2020;96,22876665
29/06/2020;94,10945175
30/06/2020;92,52385865
01/07/2020;91,44958581
02/07/2020;89,068164
03/07/2020;87,5044327
04/07/2020;89,51548797
05/07/2020;92,14100026
06/07/2020;94,37988481
07/07/2020;95,82568447
08/07/2020;97,5651827
09/07/2020;98,9984072
10/07/2020;94,35388962
11/07/2020;95,48182211
12/07/2020;95,62891436
13/07/2020;95,79847575
14/07/2020;94,62013226
15/07/2020;95,44407367
16/07/2020;94,41638062
17/07/2020;92,03990415
18/07/2020;91,52854627
19/07/2020;92,56617435
20/07/2020;90,85760714
21/07/2020;93,38156623
22/07/2020;92,19686194
23/07/2020;93,68178788
24/07/2020;91,92392365
25/07/2020;92,02330811
26/07/2020;96,67447105
27/07/2020;106,2565067
28/07/2020;105,4312362
29/07/2020;102,1103673
30/07/2020;98,15992497
31/07/2020;100,0392119
01/08/2020;103,2013573
02/08/2020;108,0015432
03/08/2020;107,1156953
04/08/2020;105,8751591
05/08/2020;107,5693211
06/08/2020;105,9629284
07/08/2020;106,5704058
08/08/2020;105,940073
09/08/2020;105,108031
10/08/2020;106,0186454
11/08/2020;107,0541034
12/08/2020;104,3630174
13/08/2020;102,757788
14/08/2020;106,3875768
15/08/2020;112,6343241
16/08/2020;111,9278034
17/08/2020;111,4820198
18/08/2020;111,6751675
19/08/2020;108,578394
20/08/2020;105,8542792
21/08/2020;104,2025381
22/08/2020;104,6491915
23/08/2020;103,5726101
24/08/2020;103,3381557
25/08/2020;103,2706445
26/08/2020;100,9681572
27/08/2020;103,5645911
28/08/2020;98,82086396
29/08/2020;97,8145712
30/08/2020;97,80764573
31/08/2020;99,69958047
01/09/2020;101,3611665
02/09/2020;98,99132259
03/09/2020;102,5797796
04/09/2020;104,126215
05/09/2020;107,1239989
06/09/2020;109,4773354
07/09/2020;108,0017239
08/09/2020;109,9216467
09/09/2020;110,1527204
10/09/2020;107,3245278
11/09/2020;105,0900551
12/09/2020;100,8503866
13/09/2020;103,2168234
14/09/2020;101,6509066
15/09/2020;101,5508679
16/09/2020;100,9210551
17/09/2020;100,3434096
18/09/2020;97,81140499
19/09/2020;96,0675951
20/09/2020;95,33334511
21/09/2020;98,02623137
22/09/2020;97,71224536
23/09/2020;96,10047107
24/09/2020;96,79280164
25/09/2020;91,60593865
26/09/2020;91,49744155
27/09/2020;92,85639881
28/09/2020;93,3888901
29/09/2020;93,0662919
30/09/2020;93,39120537
01/10/2020;96,90710988
02/10/2020;96,47210413
03/10/2020;95,278418
04/10/2020;96,42088831
05/10/2020;98,14403662
06/10/2020;97,15717768
07/10/2020;98,13048801
08/10/2020;98,31330245
09/10/2020;95,73585265
10/10/2020;96,58680783
11/10/2020;96,4411202
12/10/2020;95,94663341
13/10/2020;96,56946703
14/10/2020;95,37512471
15/10/2020;95,1882292
16/10/2020;94,62601435
17/10/2020;94,90561686
18/10/2020;94,48746908
19/10/2020;95,38167994
20/10/2020;97,19676074
21/10/2020;103,1156755
22/10/2020;100,2550054
23/10/2020;98,99407169
24/10/2020;97,94019417
25/10/2020;98,45874734
26/10/2020;96,62458711
27/10/2020;100,1242662
28/10/2020;101,6437938
29/10/2020;100,6098949
30/10/2020;98,93332395
31/10/2020;104,6782918
01/11/2020;106,2929779
02/11/2020;108,8823522
03/11/2020;108,0284903
04/11/2020;106,2006263
05/11/2020;110,5773032
06/11/2020;112,8302824
07/11/2020;110,7100235
08/11/2020;109,3315872
09/11/2020;111,3552503
10/11/2020;107,0701672
11/11/2020;106,4546
12/11/2020;110,198484
13/11/2020;109,2832849
14/11/2020;110,3753117
15/11/2020;111,2772776
16/11/2020;111,0306262
17/11/2020;116,2327227
18/11/2020;123,2299099
19/11/2020;116,7123899
20/11/2020;118,6738301
21/11/2020;124,411272
22/11/2020;123,2708346
23/11/2020;128,1765813
24/11/2020;127,3569795
25/11/2020;128,4067435
26/11/2020;125,9523292
27/11/2020;122,3924808
28/11/2020;118,2088656
29/11/2020;120,2050227
30/11/2020;131,6035295
01/12/2020;135,2898629
02/12/2020;126,4389639
03/12/2020;125,4015632
04/12/2020;123,5496687
05/12/2020;122,3339731
06/12/2020;123,1642221
07/12/2020;123,8496275
08/12/2020;122,3735507
09/12/2020;118,5513765
10/12/2020;117,9695626
11/12/2020;116,8721893
12/12/2020;116,7412965
13/12/2020;119,5988521
14/12/2020;120,2892658
15/12/2020;119,7027406
16/12/2020;123,0407208
17/12/2020;134,5205216
18/12/2020;125,2472752
19/12/2020;132,737984
20/12/2020;131,3282217
21/12/2020;131,3730092
22/12/2020;131,8378151
23/12/2020;133,6655172
24/12/2020;125,6973065
25/12/2020;128,3044198
26/12/2020;128,8074396
27/12/2020;132,75661
28/12/2020;130,4138337
29/12/2020;131,4970189
30/12/2020;129,7481076
31/12/2020;135,8400143
01/01/2021;127,692417
02/01/2021;132,6024411
03/01/2021;138,7278947
04/01/2021;144,1975529
05/01/2021;139,5305001
06/01/2021;143,9747525
07/01/2021;157,996172
08/01/2021;158,6990655
09/01/2021;155,6359249
10/01/2021;160,3465255
11/01/2021;156,3158472
12/01/2021;165,7775802
13/01/2021;158,3160081
14/01/2021;164,4742629
15/01/2021;167,6402907
16/01/2021;164,3999294
17/01/2021;157,6091577
18/01/2021;153,7183848
19/01/2021;154,6511737
20/01/2021;146,2459971
21/01/2021;144,2897878
22/01/2021;140,2868946
23/01/2021;138,0311044
24/01/2021;139,5323369
25/01/2021;137,1829389
26/01/2021;136,0837251
27/01/2021;139,8560494
28/01/2021;139,9836703
29/01/2021;145,4115044
30/01/2021;137,6492993
31/01/2021;137,9153497
01/02/2021;135,4932902
02/02/2021;131,5346184
03/02/2021;129,8725788
04/02/2021;128,9215158
05/02/2021;127,6348271
06/02/2021;126,5742005
07/02/2021;129,0015673
08/02/2021;133,3752404
09/02/2021;134,5122785
10/02/2021;131,3817941
11/02/2021;131,7130013
12/02/2021;130,241531
13/02/2021;129,3437659
14/02/2021;128,8232604
15/02/2021;127,3334092
16/02/2021;129,720548
17/02/2021;124,9734955
18/02/2021;127,648546
19/02/2021;122,9303079
20/02/2021;122,4585974
21/02/2021;121,9796326
22/02/2021;126,3817398
23/02/2021;132,4708278
24/02/2021;127,2580514
25/02/2021;124,1664422
26/02/2021;121,3533446
27/02/2021;122,2488962
28/02/2021;124,9434849
01/03/2021;123,5226554
02/03/2021;121,4380836
03/03/2021;120,8453963
04/03/2021;121,2120085
05/03/2021;120,5154563
06/03/2021;119,2883389
07/03/2021;118,5160034
08/03/2021;117,7487783
09/03/2021;117,9064776
10/03/2021;116,1639968
11/03/2021;118,9427831
12/03/2021;117,6116462
13/03/2021;118,0279704
14/03/2021;118,4173126
15/03/2021;118,1341618
16/03/2021;117,0596405
17/03/2021;118,0117441
18/03/2021;115,9217142
19/03/2021;112,4046513
20/03/2021;110,6700957
21/03/2021;106,3574998
22/03/2021;105,8820912
23/03/2021;104,3355654
24/03/2021;104,0432682
25/03/2021;107,5810939
26/03/2021;103,0760486
27/03/2021;101,4448089
28/03/2021;100,1279343
29/03/2021;102,7471229
30/03/2021;104,4064394
31/03/2021;105,9528959
01/04/2021;102,5680722
02/04/2021;101,8896087
03/04/2021;102,8833188
04/04/2021;102,8875741
05/04/2021;101,5288189
06/04/2021;101,7535562
07/04/2021;101,4816979
08/04/2021;98,64335358
09/04/2021;99,91956874
10/04/2021;102,8864014
11/04/2021;102,5423618
12/04/2021;103,5944386
13/04/2021;105,5488052
14/04/2021;104,205899
15/04/2021;99,68495721
16/04/2021;99,36785785
17/04/2021;97,24441791
18/04/2021;106,2224318
19/04/2021;103,4885697
20/04/2021;101,98286
21/04/2021;101,0238443
22/04/2021;98,33086488
23/04/2021;107,1177304
24/04/2021;108,2112203
25/04/2021;108,3295274
26/04/2021;100,7507832
27/04/2021;99,27771634
28/04/2021;97,76739502
29/04/2021;98,65812255
30/04/2021;96,13350832
01/05/2021;96,24846101
02/05/2021;98,27206834
03/05/2021;98,44249565
04/05/2021;102,0874784
05/05/2021;101,1693914
06/05/2021;99,38575688
07/05/2021;98,38014817
08/05/2021;100,0455671
09/05/2021;101,850477
10/05/2021;104,7667119
11/05/2021;102,4021132
12/05/2021;102,0898548
13/05/2021;105,5197676
14/05/2021;105,864787
15/05/2021;110,1116964
16/05/2021;109,7869386
17/05/2021;121,3919741
18/05/2021;115,4168974
19/05/2021;117,723966
20/05/2021;115,4588806
21/05/2021;122,8736586
22/05/2021;123,782135
23/05/2021;136,7779079
24/05/2021;122,6180897
25/05/2021;120,5779678
26/05/2021;115,6362773
27/05/2021;110,0919574
28/05/2021;113,2654031
29/05/2021;117,0998948
30/05/2021;116,2509575
31/05/2021;109,0238194
01/06/2021;109,9720249
02/06/2021;108,0359742
03/06/2021;105,973988
04/06/2021;107,0087648
05/06/2021;109,5178215
06/06/2021;108,5770256
07/06/2021;106,40686
08/06/2021;113,5489407
09/06/2021;108,153798
10/06/2021;106,0350991
11/06/2021;104,7181595
12/06/2021;106,179066
13/06/2021;105,2267328
14/06/2021;106,7030952
15/06/2021;104,006013
16/06/2021;104,6425268
17/06/2021;103,2519816
18/06/2021;104,5214934
19/06/2021;102,0309399
20/06/2021;103,9002839
21/06/2021;108,3922653
22/06/2021;110,9768555
23/06/2021;106,788271
24/06/2021;106,1311788
25/06/2021;108,2828175
26/06/2021;109,4268556
27/06/2021;107,2102134
28/06/2021;107,0221464
29/06/2021;104,5434531
30/06/2021;107,011548
01/07/2021;105,3145592
02/07/2021;104,1844619
03/07/2021;103,2871827
04/07/2021;102,6232237
05/07/2021;102,1419114
06/07/2021;102,4381073
07/07/2021;101,4992581
08/07/2021;101,3608838
09/07/2021;100,1773258
10/07/2021;98,95335859
11/07/2021;99,10908948
12/07/2021;99,72990984
13/07/2021;99,61077816
14/07/2021;99,22466273
15/07/2021;98,6051736
16/07/2021;96,39291456
17/07/2021;95,91518049
18/07/2021;96,53708597
19/07/2021;98,60186358
20/07/2021;100,7076177
21/07/2021;98,58827864
22/07/2021;97,81789813
23/07/2021;96,07530635
24/07/2021;96,24317951
25/07/2021;97,65893265
26/07/2021;99,78854754
27/07/2021;98,94608864
28/07/2021;103,7518007
29/07/2021;103,8452453
30/07/2021;100,4727387
31/07/2021;101,4017603
01/08/2021;102,2858556
02/08/2021;103,3355708
03/08/2021;104,9846906
04/08/2021;106,9133409
05/08/2021;107,5606975
06/08/2021;107,0733121
07/08/2021;107,8548141
08/08/2021;109,1119254
09/08/2021;114,0041648
10/08/2021;114,0376867
11/08/2021;112,2355533
12/08/2021;110,4902108
13/08/2021;109,5145683
14/08/2021;110,5179472
15/08/2021;110,1825074
16/08/2021;109,9434366
17/08/2021;109,1860721
18/08/2021;108,2702377
19/08/2021;107,8194562
20/08/2021;108,592171
21/08/2021;108,0394259
22/08/2021;107,6660271
23/08/2021;108,5862951
24/08/2021;107,5788302
25/08/2021;106,3840894
26/08/2021;107,1060093
27/08/2021;105,5482291
28/08/2021;105,8362686
29/08/2021;105,8012388
30/08/2021;106,1311872
31/08/2021;108,0629175
01/09/2021;108,4903863
02/09/2021;109,0972014
03/09/2021;107,6012434
04/09/2021;106,880545
05/09/2021;107,177179
06/09/2021;106,4731354
07/09/2021;109,2332748
08/09/2021;107,9734549
09/09/2021;107,5218267
10/09/2021;107,4250051
11/09/2021;106,7852124
12/09/2021;106,7457119
13/09/2021;109,3977851
14/09/2021;107,8306564
15/09/2021;106,8620106
16/09/2021;105,175326
17/09/2021;103,3879447
18/09/2021;104,4018707
19/09/2021;103,9618256
20/09/2021;107,0687684
21/09/2021;107,7521505
22/09/2021;107,2328548
23/09/2021;103,9876669
24/09/2021;104,5650925
25/09/2021;103,0283358
26/09/2021;102,8531944
27/09/2021;105,9643802
28/09/2021;106,6423864
29/09/2021;107,6331624
30/09/2021;107,6968959
01/10/2021;106,2592926
02/10/2021;103,5904897
03/10/2021;104,7576007
04/10/2021;107,1579128
05/10/2021;108,4867225
06/10/2021;108,5573293
07/10/2021;107,5260598
08/10/2021;106,3878573
09/10/2021;106,2165494
10/10/2021;106,1373451
11/10/2021;107,8983426
12/10/2021;109,0617226
13/10/2021;110,0362602
14/10/2021;111,0199008
15/10/2021;113,0406616
16/10/2021;105,1655782
17/10/2021;106,7024422
18/10/2021;108,2093124
19/10/2021;108,6789203
20/10/2021;109,9271517
21/10/2021;109,3725272
22/10/2021;104,3328825
23/10/2021;105,8284982
24/10/2021;106,9864456
25/10/2021;105,6338914
26/10/2021;105,1838726
27/10/2021;107,0860254
28/10/2021;105,395938
29/10/2021;107,8893936
30/10/2021;105,8712181
31/10/2021;106,9393508
01/11/2021;106,4244287
02/11/2021;106,1931914
03/11/2021;104,2649626
04/11/2021;104,7801849
05/11/2021;104,7902052
06/11/2021;104,7477916
07/11/2021;105,7671108
08/11/2021;106,351901
09/11/2021;105,160111
10/11/2021;105,5718521
11/11/2021;105,5907295
12/11/2021;107,9765502
13/11/2021;107,1153254
14/11/2021;106,7245456
15/11/2021;106,0065068
16/11/2021;106,4770385
17/11/2021;107,0452159
18/11/2021;110,6482029
19/11/2021;107,5802812
20/11/2021;107,7558639
21/11/2021;107,1803748
22/11/2021;107,7965904
23/11/2021;108,0439132
24/11/2021;108,4467587
25/11/2021;107,1647157
26/11/2021;106,1637804
27/11/2021;105,5435797
28/11/2021;104,954959
29/11/2021;104,2918653
30/11/2021;106,5083022
01/12/2021;104,1510441
02/12/2021;104,6052525
03/12/2021;105,0490998
04/12/2021;107,6919419
05/12/2021;107,7348338
06/12/2021;104,5031259
07/12/2021;106,2885478
08/12/2021;106,3114766
09/12/2021;108,9612878
10/12/2021;109,8212095
11/12/2021;109,3570557
12/12/2021;110,6067974
13/12/2021;108,906823
14/12/2021;109,6085345
15/12/2021;109,0943721
16/12/2021;106,5827232
17/12/2021;106,1329991
18/12/2021;107,5992344
19/12/2021;107,0172497
20/12/2021;107,1617211
21/12/2021;106,3103831
22/12/2021;105,7392532
23/12/2021;104,2283931
24/12/2021;102,815624
25/12/2021;103,1405334
26/12/2021;103,4815392
27/12/2021;102,4952066
28/12/2021;100,9537841
29/12/2021;102,3186249
30/12/2021;101,8997458
31/12/2021;100,8719607
01/01/2022;96,93487115
02/01/2022;97,09178971
03/01/2022;97,42211099
04/01/2022;97,9948831
05/01/2022;97,82736403
06/01/2022;99,62606728
07/01/2022;98,69183674
08/01/2022;98,00382708
09/01/2022;97,94512854
10/01/2022;99,21777219
11/01/2022;101,8381664
12/01/2022;99,13256276
13/01/2022;95,94846549
14/01/2022;94,45068289
15/01/2022;93,93771021
16/01/2022;94,88702067
17/01/2022;95,80669924
18/01/2022;95,69347383
19/01/2022;94,59305764
20/01/2022;92,23796758
21/01/2022;96,99745223
22/01/2022;101,9686355
23/01/2022;102,4096224
24/01/2022;106,1883332
25/01/2022;104,4574647
26/01/2022;103,6187644
27/01/2022;102,9769456
28/01/2022;99,80660248
29/01/2022;100,5240665
30/01/2022;99,86078044
31/01/2022;98,77236726
01/02/2022;98,2801438
02/02/2022;100,129578
03/02/2022;99,72153137
04/02/2022;98,68882678
05/02/2022;98,45900186
06/02/2022;97,40429066
07/02/2022;99,18434803
08/02/2022;99,68550815
09/02/2022;100,3801163
10/02/2022;99,66668862
11/02/2022;99,11675813
12/02/2022;101,9680224
13/02/2022;101,1788822
14/02/2022;100,9283937
15/02/2022;101,0025525
16/02/2022;101,3995551
17/02/2022;100,5833212
18/02/2022;101,0061019
19/02/2022;100,9266558
20/02/2022;103,0793264
21/02/2022;104,2744925
22/02/2022;105,7066427
23/02/2022;104,0113194
24/02/2022;109,5949596
25/02/2022;104,7295311
26/02/2022;103,257188
27/02/2022;106,9496462
28/02/2022;108,0444174
01/03/2022;106,9147226
02/03/2022;106,0979199
03/03/2022;106,1851587
04/03/2022;107,1697833
05/03/2022;107,6330444
06/03/2022;107,7365572
07/03/2022;108,4516772
08/03/2022;110,0638695
09/03/2022;109,6375131
10/03/2022;110,9270713
11/03/2022;106,0644138
12/03/2022;107,3031699
13/03/2022;107,2911471
14/03/2022;108,4468424
15/03/2022;108,3083185
16/03/2022;109,9235651
17/03/2022;107,2358239
18/03/2022;104,6110871
19/03/2022;103,5617407
20/03/2022;105,2347183
21/03/2022;104,7694186
22/03/2022;103,7609905
23/03/2022;100,756403
24/03/2022;98,9995821
25/03/2022;96,59755038
26/03/2022;96,91347862
27/03/2022;99,7563651
28/03/2022;97,6571112
29/03/2022;96,5244717
30/03/2022;95,95802705
31/03/2022;97,12115469
01/04/2022;94,55224885
02/04/2022;94,24886245
03/04/2022;94,42685997
04/04/2022;96,35488954
05/04/2022;97,14500795
