time,open,high,low,close,Plot,Plot,Plot,Plot,Upper,Basis,Lower,Upper,Basis,Lower,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Kumo Cloud Upper Line,Kumo Cloud Lower Line,Plot,Basis,Upper,Lower,DEMA,Basis,Upper,Lower,CCI,Smoothing Line,CRSI,Plot,Correlation,Plot,Detrended Price Oscillator,ADX,+DI,-DI,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,EOM,Elder Force Index,Fisher,Trigger,HV,Plot,Plot,KST,Signal
2011-09-04T00:00:00Z,8.89,8.89,8.89,8.89,9.954444444444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.475,NaN,4.61,NaN,NaN,NaN,NaN,7.824333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24274116350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5298542039744023,-0.5124670465115908,161.3520868613405,NaN,NaN,NaN,NaN
2011-09-06T00:00:00Z,8,8,8,8,9.543333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.475,NaN,3.99,NaN,NaN,NaN,NaN,7.9568148148148135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27100417290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.6249397838692254,-0.5298542039744023,156.76242347624077,NaN,NaN,NaN,NaN
2011-09-07T00:00:00Z,8.5,8.5,8.5,8.5,9.187777777777777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.475,NaN,3.89,NaN,NaN,NaN,NaN,8.120962962962961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23534645930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.655937019500449,-0.6249397838692254,165.6508924163108,NaN,NaN,NaN,NaN
2011-09-08T00:00:00Z,7.98,7.98,7.4,7.4,8.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.375,NaN,4.51,NaN,NaN,NaN,NaN,7.901777777777777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-25995752690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.633709814861547,-0.7625693034456718,-0.655937019500449,174.69083060139607,NaN,NaN,NaN,NaN
2011-09-13T00:00:00Z,5.8,6,5.65,5.97,8.206666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.625,NaN,4.1,NaN,NaN,NaN,NaN,7.127740740740741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23970516530,NaN,NaN,15.797665369649803,79.29961089494165,23.523093447905467,NaN,NaN,NaN,NaN,23.523093447905467,NaN,23.523093447905467,NaN,-116.4954174551925,-7.952688273461536,-1.0809204935516474,-0.7625693034456718,196.17090940526361,NaN,NaN,NaN,NaN
2011-09-14T00:00:00Z,5.58,5.72,5.52,5.53,7.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.07,NaN,3.93,NaN,NaN,NaN,NaN,6.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21033491760,NaN,NaN,15.223536198442456,77.4675511970003,22.383835207170378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-272.69086236458713,-10.660051776224169,-1.4794798988025548,-1.0809204935516474,194.5929026122238,NaN,NaN,NaN,NaN
2011-09-15T00:00:00Z,5.12,5.24,5,5.13,7.391111111111111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.945,NaN,3.97,NaN,NaN,NaN,NaN,5.139111111111112,NaN,NaN,NaN,5.421076898133334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18015569470,NaN,NaN,14.552712063560742,78.37730070458085,21.37054166883196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-273.76040859881624,-13.716661248192148,-1.9036094021182994,-1.4794798988025548,194.42035841012853,NaN,NaN,NaN,NaN
2011-09-16T00:00:00Z,4.82,4.87,4.8,4.85,7.016666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.845000000000001,NaN,4.05,NaN,NaN,NaN,NaN,4.474444444444445,NaN,NaN,NaN,4.922572848810667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17627952770,NaN,NaN,14.135061014936877,77.86728050834003,20.66532002613107,20.66532002613107,NaN,20.66532002613107,NaN,NaN,NaN,NaN,NaN,-274.1174261258063,-13.353698484736128,-2.3317496064790024,-1.9036094021182994,167.01661575455262,NaN,NaN,NaN,NaN
2011-09-17T00:00:00Z,4.87,4.87,4.87,4.87,6.571111111111111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.845000000000001,NaN,3.92,NaN,NaN,NaN,NaN,4.206518518518519,NaN,NaN,NaN,4.607827343291733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17240336070,NaN,NaN,14.108633560512553,77.72169684197978,20.866196367806225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-274.1174261258063,-11.445170129773825,-2.7204205489446442,-2.3317496064790024,163.62153030133427,NaN,NaN,NaN,NaN
2011-09-18T00:00:00Z,4.87,4.92,4.81,4.92,6.129999999999999,NaN,NaN,NaN,9.63142613133,8.3675,7.103573868669999,9.63142613133,8.3675,7.103573868669999,6.65,NaN,2.24,NaN,NaN,NaN,NaN,4.241777777777777,8.3675,9.20425,7.53075,4.4348771260279465,8.325,11.85,4.8,-108.23492363407341,NaN,NaN,NaN,NaN,-16852719370,NaN,NaN,13.954105617449159,77.46785390002087,21.401995405010936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-61.943583357529164,-8.95434011123471,-3.0758369446202156,-2.7204205489446442,148.01380597435633,NaN,NaN,NaN,NaN
2011-09-19T00:00:00Z,4.9,4.9,4.9,4.9,5.785555555555555,8.202380952380953,NaN,NaN,9.178795422958906,8.037261904761905,6.895728386564905,9.178795422958906,8.037261904761905,6.895728386564905,6.65,NaN,2.27,NaN,NaN,NaN,NaN,4.416074074074075,8.067499999999999,8.87425,7.260749999999999,4.336393901938005,8.325,11.85,4.8,-97.70735806025688,NaN,NaN,NaN,NaN,-19671068120,NaN,NaN,13.924243837989605,77.30207272910336,21.339754773993207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-61.943583357529164,-7.732291523915465,-3.333137294891912,-3.0758369446202156,147.2704782531518,NaN,NaN,NaN,NaN
2011-09-20T00:00:00Z,4.92,5.66,4.92,5.66,5.469999999999999,7.952857142857143,NaN,NaN,8.990236175447595,7.810856009070295,6.6314758426929945,8.990236175447595,7.810856009070295,6.6314758426929945,6.390000000000001,NaN,2.92,NaN,NaN,NaN,NaN,4.841,7.766,8.5426,6.9894,4.569508882442923,8.25,11.7,4.8,-73.76694201620018,NaN,NaN,NaN,NaN,-20503628620,NaN,NaN,20.85536423253492,71.07743995533072,29.70558112149284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-59.63465396423934,3.0656558533295994,-2.955486646707727,-3.333137294891912,183.84111826618846,NaN,NaN,NaN,NaN
2011-09-21T00:00:00Z,5.7,5.79,5.66,5.66,5.2766666666666655,7.6657142857142855,NaN,NaN,8.693454729374599,7.606012579635029,6.518570429895458,8.693454729374599,7.606012579635029,6.518570429895458,5.4,NaN,2.72,NaN,NaN,NaN,NaN,5.30137037037037,7.464,8.210400000000002,6.717600000000001,4.762322114668353,8.25,11.7,4.8,-57.935163221506876,NaN,NaN,NaN,NaN,-24753639500,NaN,NaN,22.012179004324622,70.0385390660411,29.70558112149284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41.13129081615448,2.6277050171396565,-1.8006041575155125,-2.955486646707727,175.47242242810736,NaN,NaN,NaN,NaN
2011-09-22T00:00:00Z,5.68,5.72,5.68,5.72,5.248888888888889,7.380952380952381,NaN,NaN,8.417090268721115,7.426392333955502,6.435694399189889,8.417090268721115,7.426392333955502,6.435694399189889,5.295,NaN,2.69,NaN,NaN,NaN,NaN,5.678555555555556,7.165000000000001,7.881500000000002,6.448500000000001,4.943229698705895,8.25,11.7,4.8,-51.44145791430491,-77.81716896926845,NaN,-82.47706583622599,NaN,-31243339580,NaN,NaN,21.85341420467339,69.53337987119262,30.383492318911863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-54.22971020026724,2.6275622065197033,-0.797582894691771,-1.8006041575155125,165.63845540355786,NaN,NaN,NaN,NaN
2011-09-23T00:00:00Z,5.7,5.72,5.7,5.72,5.27,7.096190476190476,NaN,4.002584615384618,8.159506919629743,7.263878778340692,6.3682506370516405,8.159506919629743,7.263878778340692,6.3682506370516405,5.295,NaN,4.2,NaN,NaN,NaN,NaN,5.881888888888888,6.866,7.5526,6.1794,5.0900813645416845,8.15,11.5,4.8,-44.91417067928941,-65.15301837831166,NaN,-76.76347789028972,NaN,-29512097680,NaN,NaN,21.796978894520592,69.35381351958046,30.383492318911863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-54.22280222693191,2.252196177016889,0.010013170454039544,-0.797582894691771,113.83951804020057,NaN,NaN,NaN,NaN
2011-09-24T00:00:00Z,5.7,5.76,5.68,5.68,5.33111111111111,6.809523809523809,NaN,3.9308615384615386,7.93509850756363,7.113033180403484,6.2909678532433375,7.93509850756363,7.113033180403484,6.2909678532433375,5.295,8.325,3.95,NaN,NaN,NaN,NaN,5.911370370370371,6.625,7.2875000000000005,5.9625,5.194863176094923,7.4,10,4.8,-39.48406254349746,-53.508359274959766,NaN,-67.24646687629757,NaN,-27780855780,NaN,NaN,22.10726857952706,68.59078274814276,30.158617154258977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-54.216494167795226,1.4128134869859044,0.6763889642302892,0.010013170454039544,104.30094310441766,NaN,NaN,NaN,NaN
2011-09-25T00:00:00Z,6.05,6.05,6.05,6.05,5.464444444444442,6.597619047619046,NaN,4.026307692307691,7.825650719571093,7.011791925126961,6.19793313068283,7.825650719571093,7.011791925126961,6.19793313068283,5.43,8.325,3.5,NaN,NaN,NaN,NaN,5.9671111111111115,6.427499999999999,7.07025,5.78475,5.414529008445199,6.845000000000001,8.89,4.8,-16.799137024449507,-42.11479827660963,NaN,-56.40579335424154,NaN,-26049613880,NaN,NaN,25.030640908555426,65.02738410487643,34.954283107138565,NaN,NaN,NaN,NaN,34.954283107138565,NaN,34.954283107138565,NaN,-54.216494167795226,1.8568972745593468,1.2511447482784286,0.6763889642302892,96.47629534138053,NaN,NaN,NaN,NaN
2011-09-26T00:00:00Z,6.06,6.06,4.8,4.8,5.456666666666666,6.35,NaN,3.9861538461538437,7.785617990114589,6.80114507511487,5.816672160115151,7.785617990114589,6.80114507511487,5.816672160115151,5.43,8.25,3.3,NaN,NaN,NaN,NaN,5.6682962962962975,6.2675,6.89425,5.640750000000001,5.130533980811567,6.845000000000001,8.89,4.8,-58.02351077496694,-42.13246778730165,NaN,-51.18971112673799,NaN,-22577008770,NaN,60.069138100324,21.024874906578678,70.4971975581721,27.967429820851507,27.967429820851507,NaN,27.967429820851507,NaN,NaN,NaN,NaN,NaN,-19.397952973277686,-5.47595650394913,1.1340893334322568,1.2511447482784286,169.40629431996643,NaN,NaN,NaN,NaN
2011-09-27T00:00:00Z,4.85,4.92,4.85,4.92,5.456666666666666,6.203333333333334,NaN,4.027784615384617,7.532014024794153,6.621988401294406,5.711962777794659,7.532014024794153,6.621988401294406,5.711962777794659,5.43,8.25,3.33,NaN,NaN,NaN,NaN,5.267962962962963,6.1025,6.712750000000001,5.49225,4.978755803893581,6.845000000000001,8.89,4.8,-72.7473742399116,-46.39365105242298,NaN,-42.596296088990734,NaN,-19475802050,NaN,59.63956198814342,20.685349826198713,69.35875717391987,29.42585043512183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.529195660841582,-4.276171289099254,0.5511318736445321,1.1340893334322568,170.04403018835774,NaN,NaN,NaN,NaN
2011-09-28T00:00:00Z,4.9,4.91,4.82,4.82,5.447777777777777,6.041428571428572,NaN,4.116923076923076,7.289393519463758,6.450370458313986,5.611347397164215,7.289393519463758,6.450370458313986,5.611347397164215,5.43,8.25,3.55,NaN,NaN,NaN,NaN,4.868888888888889,5.8995,6.489450000000001,5.30955,4.843267538510326,6.845000000000001,8.89,4.8,-75.19468688471596,-52.44975429350829,NaN,-35.06774573395653,NaN,-23151224610,NaN,59.25643965720205,20.389850886264853,68.79650074027343,28.90072143284563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.065728776313696,-4.851765759227927,-0.07927381005200473,0.5511318736445321,170.35027372379557,NaN,NaN,NaN,NaN
