time,open,high,low,close
2007-01-30T00:00:00Z,85.06,85.13,84.94,85.02
2007-01-31T00:00:00Z,85.02,85.27,84.57,84.59
2007-02-01T00:00:00Z,84.65,84.74,84.4,84.64
2007-02-02T00:00:00Z,84.63,85.04,84.44,84.97
2007-02-05T00:00:00Z,84.98,85.2,84.89,85.08
2007-02-06T00:00:00Z,85.05,85.17,84.72,84.78
2007-02-07T00:00:00Z,84.75,84.86,84.65,84.73
2007-02-08T00:00:00Z,84.7,85.03,84.66,84.69
2007-02-09T00:00:00Z,84.72,85.03,84.68,84.88
2007-02-12T00:00:00Z,84.83,85.21,84.74,85.12
2007-02-13T00:00:00Z,85.14,85.16,84.69,84.69
2007-02-14T00:00:00Z,84.74,84.78,84.07,84.18
2007-02-15T00:00:00Z,84.16,84.26,83.94,84.03
2007-02-16T00:00:00Z,84.1,84.31,84.04,84.07
2007-02-19T00:00:00Z,84.01,84.22,83.97,84.15
2007-02-20T00:00:00Z,84.16,84.24,83.89,84.17
2007-02-21T00:00:00Z,84.14,84.41,84.08,84.23
2007-02-22T00:00:00Z,84.24,84.53,84.19,84.33
2007-02-23T00:00:00Z,84.34,84.43,83.94,84.06
2007-02-26T00:00:00Z,83.97,84.09,83.89,83.93
2007-02-27T00:00:00Z,83.9,84.01,83.36,83.48
2007-02-28T00:00:00Z,83.53,83.85,83.49,83.56
2007-03-01T00:00:00Z,83.62,83.88,83.47,83.75
2007-03-02T00:00:00Z,83.84,83.97,83.64,83.74
2007-03-05T00:00:00Z,83.65,84.25,83.64,84.17
2007-03-06T00:00:00Z,84.15,84.26,83.99,84.04
2007-03-07T00:00:00Z,83.98,84.1,83.74,83.76
2007-03-08T00:00:00Z,83.77,84.22,83.74,84.13
2007-03-09T00:00:00Z,84.09,84.38,83.96,84.26
2007-03-12T00:00:00Z,84.23,84.28,83.8,83.85
2007-03-13T00:00:00Z,83.84,83.97,83.58,83.72
2007-03-14T00:00:00Z,83.68,83.88,83.48,83.65
2007-03-15T00:00:00Z,83.67,83.81,83.54,83.65
2007-03-16T00:00:00Z,83.61,83.65,83.03,83.21
2007-03-19T00:00:00Z,83.17,83.47,83.15,83.38
2007-03-20T00:00:00Z,83.31,83.5,83.04,83.06
2007-03-21T00:00:00Z,83.08,83.26,82.74,82.81
2007-03-22T00:00:00Z,82.74,83.2,82.65,83.07
2007-03-23T00:00:00Z,83.1,83.31,82.96,83.3
2007-03-26T00:00:00Z,83.39,83.46,82.94,83.08
2007-03-27T00:00:00Z,83.08,83.14,82.91,82.99
2007-03-28T00:00:00Z,83.02,83.1,82.75,83.08
2007-03-29T00:00:00Z,83.07,83.17,82.94,83.09
2007-03-30T00:00:00Z,83.09,83.33,82.64,82.92
2007-04-02T00:00:00Z,82.82,83.04,82.75,82.87
2007-04-03T00:00:00Z,82.85,83.21,82.82,83.18
2007-04-04T00:00:00Z,83.18,83.21,82.88,82.96
2007-04-05T00:00:00Z,82.94,83.034,82.594,82.694
2007-04-06T00:00:00Z,82.71,83.04,82.665,82.98
2007-04-09T00:00:00Z,83.004,83.181,82.923,83.093
2007-04-10T00:00:00Z,83.1,83.126,82.557,82.656
2007-04-11T00:00:00Z,82.687,82.786,82.603,82.641
2007-04-12T00:00:00Z,82.61,82.665,82.265,82.368
2007-04-13T00:00:00Z,82.319,82.438,81.969,82.164
2007-04-16T00:00:00Z,82.025,82.213,81.976,82.127
2007-04-17T00:00:00Z,82.165,82.191,81.747,81.822
2007-04-18T00:00:00Z,81.823,81.915,81.573,81.608
